land_variable,mean,median,std,min,max,count,Country
Land area,263310.0,263310.0,0.0,263310.0,263310.0,15,New Zealand
Meadows and pastures % land area,42.32313333333333,41.726,4.060905913474878,36.022,49.405,15,New Zealand
Other % land area,18.470466666666667,18.961,3.4653764352657617,12.805,23.727,15,New Zealand
Other areas,48634.710666666666,49926.48,9124.562886729324,33717.45,62474.73,15,New Zealand
Permanent meadows and pastures,111441.33333333333,109870.0,10692.727505556999,94850.0,130087.5,15,New Zealand
Total area,267710.0,267710.0,0.0,267710.0,267710.0,15,New Zealand
Arable and cropland % land area,4.418533333333333,4.373,0.15247288595806482,4.179,4.612,15,Canada
Arable land and permanent crops,395635.9066666666,390520.0,13976.824512204223,374637.0,413490.0,15,Canada
Forest,3474841.466666667,3474661.0,4026.62637712421,3468911.0,3481317.0,15,Canada
Forest % land area,38.809533333333334,38.766,0.18725340609782784,38.7,39.47,15,Canada
Land area,8953797.333333334,8965590.0,45672.80160737542,8788700.0,8965590.0,15,Canada
Meadows and pastures % land area,2.2449333333333334,2.236,0.09519938975394648,2.105,2.44,15,Canada
Other % land area,54.52706666666667,54.374,0.26150429296303657,54.045,54.866,15,Canada
Other areas,4882300.733333333,4874969.0,41817.17144473184,4749879.0,4919061.0,15,Canada
Permanent meadows and pastures,201019.6,200480.0,8956.562070029198,185600.0,218750.0,15,Canada
Total area,10263394.0,9879750.0,1485846.8228723982,9879750.0,15634410.0,15,Canada
Arable and cropland % land area,30.1826,29.352,2.0443911353470785,27.953,33.493,15,Slovak Republic
Arable land and permanent crops,14515.933333333332,14115.0,985.110324979366,13440.0,16110.0,15,Slovak Republic
Forest,19129.329333333335,19129.6,97.22119356444321,19015.17,19259.0,15,Slovak Republic
Forest % land area,39.77546666666667,39.77,0.20931584701002798,39.533,40.056,15,Slovak Republic
Land area,48093.2,48100.0,9.704196441304344,48080.0,48110.0,15,Slovak Republic
Meadows and pastures % land area,13.348333333333333,10.896,3.2532747823575874,10.626,17.796,15,Slovak Republic
Other % land area,16.6934,19.972,4.99407535843366,9.602,21.342,15,Slovak Republic
Other areas,8028.070333333333,9604.218,2400.7129733247903,4618.409,10261.0,15,Slovak Republic
Permanent meadows and pastures,6419.866666666667,5240.0,1565.6112392228642,5110.0,8560.0,15,Slovak Republic
Total area,49031.46666666667,49030.0,3.1592645316527346,49030.0,49040.0,15,Slovak Republic
Arable and cropland % land area,34.1552,32.808,3.12299870088258,30.597,38.836,15,Italy
Arable land and permanent crops,100839.84933333333,97020.0,9021.362376821764,90480.0,114220.0,15,Italy
Forest,87885.58533333334,88304.03,5715.656744575595,78236.0,96199.41,15,Italy
Forest % land area,29.75906666666667,29.861,1.8791376238912902,26.601,32.531,15,Italy
Land area,295289.06666666665,295718.0,735.959089183899,294110.0,295718.0,15,Italy
Meadows and pastures % land area,14.268533333333332,14.882,1.4855777551736116,10.286,15.596,15,Italy
Other % land area,21.817400000000003,22.249,2.2454286514096666,18.091,25.527,15,Italy
Other areas,64433.77533333333,65793.98,6728.864229673816,53207.0,75487.27,15,Italy
Permanent meadows and pastures,42129.85866666667,43770.0,4359.153231898316,30415.96,46120.0,15,Italy
Total area,301874.4666666667,302069.0,333.60773943288933,301340.0,302069.0,15,Italy
Arable and cropland % land area,11.710266666666666,11.63,0.24606255495784146,11.421,12.139,15,World
Arable land and permanent crops,15240534.0,15142700.0,333550.12518574815,14841980.0,15798780.0,15,World
Forest,41259051.333333336,41218370.0,491492.89917652594,40539060.0,42129180.0,15,World
Forest % land area,31.7034,31.658,0.40707384377495465,31.149,32.418,15,World
Land area,130142613.33333333,130181200.0,135617.11789691894,129939300.0,130311800.0,15,World
Meadows and pastures % land area,25.307357142857143,25.383499999999998,0.5797362274401969,24.413,26.049,14,World
Other % land area,31.188933333333335,31.217,0.5540331948109078,30.497,31.916,15,World
Other areas,40590494.666666664,40643760.0,759042.2946136667,39642800.0,41589140.0,15,World
Permanent meadows and pastures,32934842.14285714,33048960.0,722539.992411158,31812620.0,33875240.0,14,World
Total area,135012293.33333334,134412400.0,1640825.4214034465,134336100.0,140856300.0,15,World
Arable and cropland % land area,17.455133333333333,17.499,0.4305245748198454,16.814,18.153,15,Austria
Arable land and permanent crops,14404.072666666667,14440.0,355.29738599148334,13874.79,14980.0,15,Austria
Forest,38543.079999999994,38556.82,320.12955096334923,37944.11,39027.4,15,Austria
Forest % land area,46.70746666666666,46.724,0.3877233672656379,45.982,47.294,15,Austria
Land area,82520.0,82520.0,0.0,82520.0,82520.0,15,Austria
Meadows and pastures % land area,16.70106666666667,16.797,1.1729058826367142,14.663,18.19,15,Austria
