"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"COL","Colombia","SELF_AGR","Self- and other supply for agriculture, fishing and forestry","2018","2018","M3","Cubic metres","6","Millions",,,91752.851,"E","Estimated value"
"COL","Colombia","SELF_AGR","Self- and other supply for agriculture, fishing and forestry","2019","2019","M3","Cubic metres","6","Millions",,,95882.672,,
"COL","Colombia","SELF_AGR","Self- and other supply for agriculture, fishing and forestry","2020","2020","M3","Cubic metres","6","Millions",,,97663.133,,
"COL","Colombia","PUB_SER","Public water supply for services","2010","2010","M3","Cubic metres","6","Millions",,,578.516,,
"COL","Colombia","PUB_SER","Public water supply for services","2011","2011","M3","Cubic metres","6","Millions",,,541.422,,
"COL","Colombia","PUB_SER","Public water supply for services","2012","2012","M3","Cubic metres","6","Millions",,,534.688,,
"COL","Colombia","PUB_SER","Public water supply for services","2013","2013","M3","Cubic metres","6","Millions",,,539.48,,
"COL","Colombia","PUB_SER","Public water supply for services","2014","2014","M3","Cubic metres","6","Millions",,,544.19,,
"COL","Colombia","PUB_SER","Public water supply for services","2015","2015","M3","Cubic metres","6","Millions",,,546.4,,
"COL","Colombia","PUB_SER","Public water supply for services","2016","2016","M3","Cubic metres","6","Millions",,,611.028,,
"COL","Colombia","PUB_SER","Public water supply for services","2017","2017","M3","Cubic metres","6","Millions",,,626.469,,
"COL","Colombia","PUB_SER","Public water supply for services","2018","2018","M3","Cubic metres","6","Millions",,,642.674,"E","Estimated value"
"COL","Colombia","PUB_SER","Public water supply for services","2019","2019","M3","Cubic metres","6","Millions",,,696.282,,
"COL","Colombia","PUB_SER","Public water supply for services","2020","2020","M3","Cubic metres","6","Millions",,,679.931,,
"EST","Estonia","SELF_CON","Self- and other supply - Construction","2019","2019","M3","Cubic metres","6","Millions",,,0.087,,
"EST","Estonia","SELF_CON","Self- and other supply - Construction","2020","2020","M3","Cubic metres","6","Millions",,,0.013,,
"EST","Estonia","SELF_CON","Self- and other supply - Construction","2021","2021","M3","Cubic metres","6","Millions",,,0.014,,
"COL","Colombia","SELF_IND","Self- and other supply for industrial activities","2010","2010","M3","Cubic metres","6","Millions",,,54210.502,,
"COL","Colombia","SELF_IND","Self- and other supply for industrial activities","2011","2011","M3","Cubic metres","6","Millions",,,65853.66,,
"COL","Colombia","SELF_IND","Self- and other supply for industrial activities","2012","2012","M3","Cubic metres","6","Millions",,,59917.015,,
"COL","Colombia","SELF_IND","Self- and other supply for industrial activities","2013","2013","M3","Cubic metres","6","Millions",,,55923.257,,
"COL","Colombia","SELF_IND","Self- and other supply for industrial activities","2014","2014","M3","Cubic metres","6","Millions",,,58070.94,,
"COL","Colombia","SELF_IND","Self- and other supply for industrial activities","2015","2015","M3","Cubic metres","6","Millions",,,57541.636,,
"COL","Colombia","SELF_IND","Self- and other supply for industrial activities","2016","2016","M3","Cubic metres","6","Millions",,,65931.391,,
"COL","Colombia","SELF_IND","Self- and other supply for industrial activities","2017","2017","M3","Cubic metres","6","Millions",,,90856.91,,
"COL","Colombia","SELF_IND","Self- and other supply for industrial activities","2018","2018","M3","Cubic metres","6","Millions",,,83269.69,"E","Estimated value"
"COL","Colombia","SELF_IND","Self- and other supply for industrial activities","2019","2019","M3","Cubic metres","6","Millions",,,80161.74,,
"COL","Colombia","SELF_IND","Self- and other supply for industrial activities","2020","2020","M3","Cubic metres","6","Millions",,,72684.921,,
"ITA","Italy","PUB_COOL_ELEC","Public water supply for cooling (electricity)","2015","2015","M3","Cubic metres","6","Millions",,,0,,
"GRC","Greece","PUB_IND","Public water supply for industrial activities","2011","2011","M3","Cubic metres","6","Millions",,,91.06,,
"GRC","Greece","PUB_IND","Public water supply for industrial activities","2012","2012","M3","Cubic metres","6","Millions",,,89.98,,
"GRC","Greece","PUB_IND","Public water supply for industrial activities","2013","2013","M3","Cubic metres","6","Millions",,,90.86,,
"GRC","Greece","PUB_IND","Public water supply for industrial activities","2014","2014","M3","Cubic metres","6","Millions",,,93.66,,
"GRC","Greece","PUB_IND","Public water supply for industrial activities","2015","2015","M3","Cubic metres","6","Millions",,,94.61,,
"GRC","Greece","PUB_IND","Public water supply for industrial activities","2016","2016","M3","Cubic metres","6","Millions",,,143.69,,
"GRC","Greece","PUB_IND","Public water supply for industrial activities","2017","2017","M3","Cubic metres","6","Millions",,,139.49,,
"GRC","Greece","PUB_IND","Public water supply for industrial activities","2018","2018","M3","Cubic metres","6","Millions",,,141.38,,
"GRC","Greece","PUB_IND","Public water supply for industrial activities","2019","2019","M3","Cubic metres","6","Millions",,,141.99,,
