country,land_variable,mean,median,std,min,max,count
"Hong Kong, China",Permanent meadows and pastures,410.6707875,80.95949999999999,491.1666880881583,0.952,1110.0,240
Hungary,Total area,27366.2,10886.1,35043.8379055782,8.027,93030.0,300
Iceland,Forest,30375.466706666666,865.0165,42896.1028960923,0.196,103000.0,300
India,Forest,923374.0020166667,288318.25,1215000.7856754055,3.449,3287260.0,300
Indonesia,Other areas,563306.61468,182570.0,726562.759114046,5.812,1916907.0,300
Iran,Forest % land area,500068.3353333333,135248.15,660871.6879304013,5.603,1745150.0,300
Iraq,Arable land and permanent crops,130901.03335333332,23375.0,181517.01523297373,1.845,438320.0,300
Ireland,Other areas,20816.00000666667,5219.25,27094.447986794148,5.747,70280.0,300
Israel,Forest,6545.000016666666,1448.0,8735.654859632898,6.007,22070.0,300
Italy,Permanent meadows and pastures,89255.27033666667,50093.5,110957.19882436517,10.286,302069.0,300
Jamaica,Meadows and pastures % land area,3274.9999966666664,1456.25,4156.375312235719,5.43,10990.0,300
Japan,Other % land area,110702.74333666667,24600.0,149118.67746156445,0.85,377974.0,300
Jordan,Land area,26606.459983333334,1594.0,38383.01428594535,1.098,89320.0,300
Kazakhstan,Arable land and permanent crops,812440.1864066666,159746.595,1092305.2444757954,1.142,2724902.0,300
Kenya,Forest % land area,171875.00019333334,45560.95,220147.57950912984,6.189,580370.0,300
Kiribati,Arable land and permanent crops,316.25,198.284,325.02559269081684,1.457,810.0,240
Korea,Permanent meadows and pastures,29384.866666666665,5200.0,39283.11419516757,0.57,100430.0,300
Kuwait,Total area,5356.000043333333,91.539,7856.221490158541,0.209,17820.0,300
Kyrgyzstan,Land area,58364.97328333333,13420.1,75595.57479442231,5.971,199950.0,300
Lao People's Democratic Republic,Other areas,69849.99997,8450.0,95920.1951169385,2.933,236800.0,300
Latvia,Land area,18914.813413333333,8005.0,24276.462209090794,7.754,64594.0,300
Lebanon,Other areas,3101.00002,1718.5,3837.448275471852,13.426,10450.0,300
Lesotho,Permanent meadows and pastures,9118.0,1287.6,12137.618014800104,1.137,30360.0,300
Liberia,Other % land area,30410.999996666666,3108.899,43674.63809987834,0.437,111370.0,300
Libya,Permanent meadows and pastures,527871.9999933334,11335.0,775496.7128547975,0.123,1759540.0,300
Liechtenstein,Land area,58.00003666666666,34.05,53.00047702424934,10.813,160.0,300
Lithuania,Total area,19072.953336666666,8759.0,23997.90665040462,7.339,65300.0,300
Luxembourg,Arable and cropland % land area,783.8920181818182,523.73,949.4439339187993,14.053,2590.0,220
"Macau, China",Total area,45.15,29.9,32.07141191442737,20.0,100.0,120
Madagascar,Arable land and permanent crops,175050.35039666668,39635.994999999995,230565.24558315217,5.795,587295.0,300
Malawi,Total area,30713.99994333333,18400.0,40047.97942022859,12.498,118480.0,300
Malaysia,Arable and cropland % land area,98788.96022333334,25529.045,129231.91483365787,0.852,330800.0,300
Maldives,Meadows and pastures % land area,99.99991999999999,42.8335,117.19199106468814,2.733,300.0,300
Mali,Forest,368067.00003,108935.0,478838.3466585845,1.846,1240190.0,300
Malta,Other areas,132.50006249999998,79.3595,125.99935273928959,1.094,320.0,240
Marshall Islands,Forest % land area,67.75991610738255,52.222,63.69036607037302,0.556,180.0,298
Martinique,Other % land area,335.0,170.0,405.85020474495064,9.434,1130.0,300
Mauritania,Total area,309220.0002,4570.0,415324.94672637375,0.298,1030700.0,300
Mauritius,Forest,616.36996,226.45,761.8571584216025,3.448,2040.0,300
Mayotte,Other areas,122.19994000000001,49.35,140.91836263362157,0.053,374.0,300
Mexico,Meadows and pastures % land area,585237.8673433333,249875.0,736240.309785902,9.295,1964380.0,300
Micronesia,Permanent meadows and pastures,220.0,27.5,303.1549247301901,0.606,700.0,300
Moldova,Arable and cropland % land area,9972.97199,3600.0,13145.741991138597,10.015,33850.0,300
Monaco,Total area,23.839461111111113,2.027,39.88168653891688,0.0,100.0,180
Mongolia,Land area,467107.5776466667,56864.9,643196.6531057172,0.756,1564120.0,300
Montserrat,Other areas,40.0,25.0,32.03969110369305,10.0,100.0,300
Morocco,Forest % land area,133925.00011999998,68124.1,168436.9025958969,12.3,446550.0,300
Mozambique,Other areas,237224.00024333334,22382.8125,311907.7435702498,0.0,799380.0,300
Myanmar,Total area,198322.80033333335,52605.0,256667.04907204487,0.463,676590.0,300
Namibia,Forest,247096.99967666666,36939.45,320860.9589395785,0.804,824290.0,300
Nauru,Total area,20.0,18.0,24.21659585169541,0.0,80.0,240
Nepal,Forest,43379.33333666667,20605.0,54438.57708592798,12.459,147180.0,300
Netherlands,Land area,10909.931155172415,5587.4,14141.59548771668,10.313,41540.0,290
New Caledonia,Permanent meadows and pastures,5523.999996666666,945.0,7145.766311866439,0.531,18580.0,300
New Zealand,Other areas,79443.00006666666,19759.21,101443.56560486298,1.641,267710.0,300
Nicaragua,Other % land area,37114.99998333333,19115.739999999998,46884.18359082468,12.412,130370.0,300
Niger,Total area,380050.001,74108.1,507296.1277936782,0.843,1267000.0,300
Nigeria,Land area,274540.9998433333,128725.85,349653.48566646775,0.71,923770.0,300
Niue,Meadows and pastures % land area,87.99995,31.15,100.60853849567121,3.846,260.0,300
Norfolk Island,Land area,27.5,25.05,18.123166477741034,4.9,62.75,240
North Macedonia,Forest % land area,7646.133343333334,4500.0,9515.13417146248,9.865,25710.0,300
Northern Mariana Islands,Other areas,148.00005333333334,49.4135,179.38642658870455,0.37,460.0,300
Norway,Total area,118754.51558666666,4925.555,168434.11782065418,0.329,625222.0,300
OECD - Total,Other areas,10823325.995065518,6132279.25,13564691.09840757,11.084,37740288.0,290
Oman,Arable and cropland % land area,92860.00012333333,363.2665,139255.83669960598,0.008,309500.0,300
Pakistan,Permanent meadows and pastures,233796.00077,49458.42,303369.02246428403,4.78,796100.0,300
Palau,Land area,148.00002333333333,23.0,193.7804107922301,0.457,460.0,300
Panama,Other areas,22407.199983333332,7490.0,29109.614546471043,8.811,75420.0,300
Papua New Guinea,Forest % land area,136866.00050666666,4935.0,192463.09680174664,0.32,462840.0,300
Paraguay,Arable land and permanent crops,120145.08037000001,36050.0,155060.34664197912,0.818,406752.0,300
Peru,Forest % land area,384532.00006666663,120098.445,499784.41301587207,3.631,1285220.0,300
Philippines,Forest,89644.00003333334,41698.6,112617.54261944964,4.293,300000.0,300
Pitcairn,Total area,40.166666666666664,41.0,19.65142914046125,12.0,74.468,180
Poland,Arable and cropland % land area,92528.86667666666,38095.0,116380.4865045162,9.692,312710.0,300
Portugal,Total area,27533.94352,18363.91,34080.23838311361,9.158,92230.0,300
Puerto Rico,Arable land and permanent crops,2670.9999933333334,1027.0,3383.6956824396098,7.463,8870.0,300
Qatar,Forest % land area,3483.4000433333335,117.244,5164.490102427657,0.0,11610.0,300
Romania,Total area,69823.43338333334,35599.75,87879.33483304034,7.61,238400.0,300
Russia,Other % land area,4985702.696703333,1077425.0,6472834.578023673,5.312,17098250.0,300
