ObjectId,ISO3,Indicator,Measure,Date,Value,Year
203,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Okhotsk,D03/05/1993,-14.29,1993
204,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Andaman Sea,D03/06/1993,-171.44,1993
205,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Arabian Sea,D03/06/1993,26.34,1993
206,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Atlantic Ocean,D03/06/1993,-23.71,1993
207,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bay Bengal,D03/06/1993,-42.13,1993
208,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bering Sea,D03/06/1993,-13.05,1993
209,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Caribbean Sea,D03/06/1993,-55.98,1993
210,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Gulf Mexico,D03/06/1993,-60.45,1993
211,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indian Ocean,D03/06/1993,-7.53,1993
212,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indonesian,D03/06/1993,-29.69,1993
213,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Mediterranean,D03/06/1993,-57.58,1993
214,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Nino,D03/06/1993,-8.13,1993
215,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Atlantic,D03/06/1993,-59.73,1993
216,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Pacific,D03/06/1993,-43.21,1993
217,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Pacific Ocean,D03/06/1993,-16.48,1993
218,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Persian Gulf,D03/06/1993,14.03,1993
219,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Japan,D03/06/1993,-84.35,1993
220,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,South China,D03/06/1993,-29.9,1993
221,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Southern Ocean,D03/06/1993,-0.13,1993
222,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Tropics,D03/06/1993,-18.64,1993
223,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,World,D03/06/1993,-18.65,1993
224,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Adriatic Sea,D03/07/1993,-58.21,1993
225,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Yellow Sea,D03/07/1993,-106.91,1993
226,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Baltic Sea,D03/15/1993,-122.15,1993
227,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Sea,D03/15/1993,36.31,1993
228,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Andaman Sea,D03/16/1993,-104.04,1993
229,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Arabian Sea,D03/16/1993,41.84,1993
230,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Atlantic Ocean,D03/16/1993,-21.61,1993
231,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bay Bengal,D03/16/1993,-49.13,1993
232,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Bering Sea,D03/16/1993,-10.45,1993
233,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Caribbean Sea,D03/16/1993,-47.98,1993
234,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Gulf Mexico,D03/16/1993,-91.45,1993
235,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indian Ocean,D03/16/1993,-4.83,1993
236,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Indonesian,D03/16/1993,-30.29,1993
237,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Mediterranean,D03/16/1993,-74.28,1993
238,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Nino,D03/16/1993,-7.23,1993
239,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Atlantic,D03/16/1993,-55.13,1993
240,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,North Pacific,D03/16/1993,-53.81,1993
241,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Pacific Ocean,D03/16/1993,-19.68,1993
242,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Persian Gulf,D03/16/1993,-37.97,1993
243,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Japan,D03/16/1993,-57.05,1993
244,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Sea Okhotsk,D03/16/1993,24.31,1993
245,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,South China,D03/16/1993,-66.9,1993
246,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Southern Ocean,D03/16/1993,2.17,1993
247,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Tropics,D03/16/1993,-19.54,1993
248,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,World,D03/16/1993,-19.15,1993
249,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Yellow Sea,D03/16/1993,-48.81,1993
250,WLD,Change in mean sea level: Sea level: TOPEX.Poseidon,Adriatic Sea,D03/18/1993,-121.01,1993
