ObjectId,ISO3,Indicator,Unit,Date,Value,Year
136,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M04,0.14,1964
137,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M05,322.26,1964
138,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M05,0.0,1964
139,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M06,321.89,1964
140,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M06,0.13,1964
141,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M07,320.44,1964
142,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M07,0.22,1964
143,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M08,318.69,1964
144,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M08,0.29,1964
145,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M09,316.7,1964
146,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M09,0.15,1964
147,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M10,316.87,1964
148,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M10,0.28,1964
149,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M11,317.68,1964
150,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M11,0.19,1964
151,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1964M12,318.71,1964
152,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1964M12,0.11,1964
153,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M01,319.44,1965
154,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M01,-0.04,1965
155,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M02,320.44,1965
156,WLD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,1965M02,0.13,1965
157,WLD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,1965M03,320.89,1965
