Country,Variable,Year,Unit,PowerCode Code,PowerCode,Value,Flags
Australia,Self- and other supply for total manufacturing,2017,Cubic metres,6,Millions,298.032,
Australia,Self- and other supply for total manufacturing,2018,Cubic metres,6,Millions,322.003,
Australia,Self- and other supply for total manufacturing,2019,Cubic metres,6,Millions,312.089,
Australia,Self- and other supply for total manufacturing,2020,Cubic metres,6,Millions,299.409,
Australia,Self- and other supply for total manufacturing,2021,Cubic metres,6,Millions,296.824,
Austria,Public water supply,1992,Cubic metres,6,Millions,632.8,
Austria,Public water supply,1993,Cubic metres,6,Millions,625.8,
Austria,Public water supply,1994,Cubic metres,6,Millions,618.8,
Austria,Public water supply,1995,Cubic metres,6,Millions,611.1,
Austria,Public water supply,1996,Cubic metres,6,Millions,609.5,
Austria,Public water supply,1997,Cubic metres,6,Millions,604.3,
Austria,Public water supply,1998,Cubic metres,6,Millions,581.4,
Austria,Public water supply,1999,Cubic metres,6,Millions,549.3,
Austria,Public water supply,2010,Cubic metres,6,Millions,587.0,
Austria,Public water supply for households,1992,Cubic metres,6,Millions,477.7,
Austria,Public water supply for households,1993,Cubic metres,6,Millions,469.0,
Austria,Public water supply for households,1994,Cubic metres,6,Millions,465.6,
Austria,Public water supply for households,1995,Cubic metres,6,Millions,337.4,
Austria,Public water supply for households,1996,Cubic metres,6,Millions,340.7,
Austria,Public water supply for households,1997,Cubic metres,6,Millions,343.3,
Austria,Public water supply for households,1998,Cubic metres,6,Millions,346.5,
Austria,Public water supply for households,1999,Cubic metres,6,Millions,348.9,
Austria,Public water supply for households,2000,Cubic metres,6,Millions,351.2,
Austria,Public water supply for households,2001,Cubic metres,6,Millions,353.5,
Austria,Public water supply for households,2002,Cubic metres,6,Millions,356.3,
Austria,Public water supply for households,2008,Cubic metres,6,Millions,380.0,Estimated value
Austria,Public water supply for households,2010,Cubic metres,6,Millions,381.0,
Austria,Public water supply for households,2016,Cubic metres,6,Millions,379.0,Estimated value
Austria,Public water supply for households,2017,Cubic metres,6,Millions,375.77,Estimated value
Austria,Public water supply for households,2018,Cubic metres,6,Millions,378.14,Estimated value
Belgium,Total gross abstraction non-freshwater,1992,Cubic metres,6,Millions,0.0,
