country,continent,h20_variable,year,h20_unit,h20_powercode_code,h20_powercode,h20_value,h20_flags
Australia,Oceania,Public water supply for households,2012,Cubic metres,6,Millions,1587.0,
Australia,Oceania,Public water supply for households,2013,Cubic metres,6,Millions,1683.0,
Australia,Oceania,Public water supply for households,2014,Cubic metres,6,Millions,1713.0,
Australia,Oceania,Public water supply for households,2015,Cubic metres,6,Millions,1682.011,Break
Australia,Oceania,Public water supply for households,2016,Cubic metres,6,Millions,1738.415,
Australia,Oceania,Public water supply for households,2017,Cubic metres,6,Millions,1713.704,
Australia,Oceania,Public water supply for households,2018,Cubic metres,6,Millions,1788.645,
Australia,Oceania,Public water supply for households,2019,Cubic metres,6,Millions,1801.924,
Australia,Oceania,Public water supply for households,2020,Cubic metres,6,Millions,1800.872,
Australia,Oceania,Public water supply for households,2021,Cubic metres,6,Millions,1793.7,
Australia,Oceania,Self- and other supply ,2009,Cubic metres,6,Millions,11167.0,
Australia,Oceania,Self- and other supply ,2010,Cubic metres,6,Millions,10653.0,
Australia,Oceania,Self- and other supply ,2011,Cubic metres,6,Millions,10757.0,
Australia,Oceania,Self- and other supply ,2012,Cubic metres,6,Millions,11668.0,
Australia,Oceania,Self- and other supply ,2013,Cubic metres,6,Millions,14746.0,
Australia,Oceania,Self- and other supply ,2014,Cubic metres,6,Millions,14061.0,
Australia,Oceania,Self- and other supply ,2015,Cubic metres,6,Millions,13545.763,Break
Australia,Oceania,Self- and other supply ,2016,Cubic metres,6,Millions,12243.346,
Australia,Oceania,Self- and other supply ,2017,Cubic metres,6,Millions,13219.298,
Australia,Oceania,Self- and other supply ,2018,Cubic metres,6,Millions,13931.309,
Australia,Oceania,Self- and other supply ,2019,Cubic metres,6,Millions,11632.003,
Australia,Oceania,Self- and other supply ,2020,Cubic metres,6,Millions,9692.24,
Australia,Oceania,Self- and other supply ,2021,Cubic metres,6,Millions,12693.643,
Australia,Oceania,Self- and other supply - Households,2009,Cubic metres,6,Millions,201.0,
Australia,Oceania,Self- and other supply - Households,2010,Cubic metres,6,Millions,178.0,
Australia,Oceania,Self- and other supply - Households,2011,Cubic metres,6,Millions,140.0,
Australia,Oceania,Self- and other supply - Households,2012,Cubic metres,6,Millions,137.0,
Australia,Oceania,Self- and other supply - Households,2013,Cubic metres,6,Millions,157.0,
Australia,Oceania,Self- and other supply - Households,2014,Cubic metres,6,Millions,154.0,
Australia,Oceania,Self- and other supply - Households,2015,Cubic metres,6,Millions,140.0,Break
Australia,Oceania,Self- and other supply - Households,2016,Cubic metres,6,Millions,146.0,
Australia,Oceania,Self- and other supply - Households,2017,Cubic metres,6,Millions,145.0,
Australia,Oceania,Self- and other supply for electricity production and distribution,2009,Cubic metres,6,Millions,364.0,
Australia,Oceania,Self- and other supply for electricity production and distribution,2010,Cubic metres,6,Millions,296.0,
